S_no,Tahsil/Taluk,Village,Latitude,Longitude,Date_of_collection,TDS,Nitrates,Ca,Mg,Na,K,Cl,SO4,F,pH,wqi,quality
67,Arakkonam,Vellorepet,"13°08'56""","79°42'17""",01-12-1981,384.519457,13.17692308,46,29,202,5.964226244,103,121.0057919,0.626930769,8.1,62.16012435,Poor
68,Arakkonam,Amirpet,"13°08'29""","79°36'40""",01-12-1981,384.519457,13.17692308,114,35,67,5.964226244,128,121.0057919,0.626930769,7.5,59.52028101,Poor
69,Arakkonam,Narayanamangalam,"13°11'19""","79°39'18""",01-12-1981,384.519457,13.17692308,40,12,16,5.964226244,32,121.0057919,0.626930769,8.7,64.40551772,Poor
70,Walajahpet,Vellore water works,"12°56'30""","79°08'00""",01-12-1981,384.519457,13.17692308,64,6,64,5.964226244,57,121.0057919,0.626930769,8.1,60.89099587,Poor
71,Walajahpet,Ranipet Water Works,"12°55'00""","79°12'00""",01-12-1981,384.519457,13.17692308,40,15,101,5.964226244,110,121.0057919,0.626930769,8.1,61.16367781,Poor
72,Arakkonam,Sayanavaram,"12°58'50""","79°39'00""",01-12-1981,384.519457,13.17692308,96,45,269,5.964226244,355,121.0057919,0.626930769,7.8,62.29490818,Poor
73,Arakkonam,Reddivalam,"12°56'12""","79°35'35""",01-12-1981,384.519457,13.17692308,120,37,276,5.964226244,386,121.0057919,0.626930769,7.8,62.26413781,Poor
74,Arakkonam,Karivedu,"12°53'27""","79°30'50""",01-12-1981,384.519457,13.17692308,96,38,127,5.964226244,227,121.0057919,0.626930769,7.8,61.49664145,Poor
75,Arakkonam,Athipattu,"12°52'43""","79°27'32""",01-12-1981,384.519457,13.17692308,72,18,189,5.964226244,213,121.0057919,0.626930769,7.8,60.23103846,Poor
76,Vellore,Pinnathurai,"12°46'43""","78°56'11""",01-03-1982,384.519457,13.17692308,78,33,131,5.964226244,103,121.0057919,0.626930769,8.2,63.2818319,Poor
77,Vellore,Pennathur,"12°50'40""","79°06'40""",01-07-1982,384.519457,13.17692308,54,35,37,5.964226244,50,121.0057919,0.626930769,8.3,63.41495616,Poor
78,Walajahpet,Lalapet,"12°58'00""","79°03'00""",01-07-1982,384.519457,13.17692308,58.75113122,112,299,5.964226244,189.0329095,121.0057919,0.626930769,7.8,65.10539387,Poor
79,Gudiyatham,Gudiyatham,"12°56'40""","78°52'10""",01-07-1982,384.519457,13.17692308,30,21,191,5.964226244,163,121.0057919,0.626930769,8.9,66.45700904,Poor
80,Katpadi,Arumparuthi,"12°58'05""","79°12'25""",01-07-1982,384.519457,13.17692308,50,9,99,5.964226244,92,121.0057919,0.626930769,7.8,59.13472865,Poor
81,Vellore,Guruvarajapalayam,"12°47'35""","78°53'00""",01-07-1982,384.519457,13.17692308,108,105,373,5.964226244,189.0329095,121.0057919,0.626930769,8.2,68.00702915,Poor
82,Gudiyatham,Pallalakuppam,"12°53'20""","78°46'00""",01-07-1982,384.519457,13.17692308,60,37,58,5.964226244,64,121.0057919,0.626930769,8,61.83000409,Poor
83,Vellore,Pallikonda,"12°54'05""","78°56'30""",01-07-1982,384.519457,13.17692308,82,62,94,5.964226244,213,121.0057919,0.626930769,8,63.68569643,Poor
84,Gudiyatham,Kallapadi,"12°59'45""","78°54'40""",01-07-1982,384.519457,13.17692308,60,57,110,5.964226244,71,121.0057919,0.626930769,7.8,61.7568286,Poor
