,vellore,Latitude,Longitude,Date,TDS,Nitrates,Ca,Mg,Na,K,Cl,SO4,F,pH,wqi,quality
113,,"12°58'00""","79°03'00""",24-04-2010,384.519457,13.17692308,58.75113122,73,359,5.964226244,189.0329095,121.0057919,0.626930769,7.7,62.59011974,Poor
114,,"12°56'40""","78°52'10""",25-04-2010,384.519457,13.17692308,66,6,143,5.964226244,117,121.0057919,0.626930769,8.9,66.02648317,Poor
115,,"12°58'05""","79°12'25""",26-04-2010,384.519457,13.17692308,58.75113122,44,186.7503982,5.964226244,189.0329095,121.0057919,0.626930769,7.9,61.9716044,Poor
116,,"12°58'10""","79°04'10""",27-04-2010,384.519457,13.17692308,58.75113122,44,186.7503982,5.964226244,189.0329095,121.0057919,0.626930769,7.9,61.9716044,Poor
117,,"12°29'00""","78°34'20""",28-04-2010,384.519457,13.17692308,68,7,76,5.964226244,99,121.0057919,0.626930769,8.7,64.73342387,Poor
118,,"12°59'51""","79°28'25""",29-04-2010,384.519457,13.17692308,26,15,71,5.964226244,57,121.0057919,0.626930769,8.8,65.11548478,Poor
119,,"12°47'35""","78°53'00""",30-04-2010,384.519457,13.17692308,42,39,69,5.964226244,82,121.0057919,0.626930769,8.5,64.7783613,Poor
120,,"12°53'20""","78°46'00""",01-05-2010,384.519457,13.17692308,54,26,67,5.964226244,64,121.0057919,0.626930769,8.6,64.85393694,Poor
121,,"12°54'05""","78°56'30""",02-05-2010,384.519457,13.17692308,76,68,106,5.964226244,262,121.0057919,0.626930769,8.3,65.8279628,Poor
122,,"12°59'45""","78°54'40""",03-05-2010,384.519457,13.17692308,54,26,67,5.964226244,64,121.0057919,0.626930769,8.6,64.85393694,Poor
123,,"13°01'50""","78°10'48""",04-05-2010,384.519457,13.17692308,54,21,163,5.964226244,89,121.0057919,0.626930769,8.4,63.59256394,Poor
124,,"12°56'33""","79°11'49""",05-05-2010,384.519457,13.17692308,58,35,108,5.964226244,160,121.0057919,0.626930769,8.3,63.74516944,Poor
125,,"12°50'38""","78°55'49""",06-05-2010,384.519457,13.17692308,54,68,212,5.964226244,223,121.0057919,0.626930769,8.4,66.29130898,Poor
126,,"12°51'54""","79°03'43""",07-05-2010,384.519457,13.17692308,52,56,386,5.964226244,326,121.0057919,0.626930769,7.9,63.05822437,Poor
127,,"12°45'15""","79°09'18""",08-05-2010,384.519457,13.17692308,56,88,150,5.964226244,248,121.0057919,0.626930769,8.5,67.87638659,Poor
128,,"12°55'05""","79°03'00""",09-05-2010,384.519457,13.17692308,90,33,202,5.964226244,284,121.0057919,0.626930769,8.6,66.25078706,Poor
129,,"12°42'17""","78°48'58""",10-05-2010,384.519457,13.17692308,68,46,122,5.964226244,110,121.0057919,0.626930769,8.3,64.41873022,Poor
130,,"13°07'50""","79°15'35""",11-05-2010,384.519457,13.17692308,160,56,285,5.964226244,496,121.0057919,0.626930769,8.4,67.61628381,Poor
131,,"13°02'20""","79°22'05""",12-05-2010,384.519457,13.17692308,104,88,186.7503982,5.964226244,189.0329095,121.0057919,0.626930769,8.5,68.53808836,Poor
132,,"12°59'40""","79°25'28""",13-05-2010,384.519457,13.17692308,140,37,115,5.964226244,206,121.0057919,0.626930769,7.8,62.00365687,Poor
133,,"12°54'10""","79°26'30""",14-05-2010,384.519457,13.17692308,120,49,253,5.964226244,189.0329095,121.0057919,0.626930769,8.3,65.64622443,Poor
134,,"12°57'30""","79°17'00""",15-05-2010,384.519457,13.17692308,80,24,115,5.964226244,82,121.0057919,0.626930769,7.8,60.34584191,Poor
135,,"12°39'30""","79°23'42""",16-05-2010,384.519457,13.17692308,42,35,163,5.964226244,181,121.0057919,0.626930769,8.5,64.87691979,Poor
136,,"12°46'00""","79°23'05""",17-05-2010,384.519457,13.17692308,58.75113122,102,193,5.964226244,189.0329095,121.0057919,0.626930769,7.6,63.16095507,Poor
137,,"12°48'00""","79°21'25""",18-05-2010,384.519457,13.17692308,102,39,258,5.964226244,429,121.0057919,0.626930769,8.2,64.57727203,Poor
138,,"12°45'25""","79°18'35""",19-05-2010,384.519457,13.17692308,42,37,101,5.964226244,152,121.0057919,0.626930769,8.7,66.04388194,Poor
139,,"12°52'35""","79°15'45""",20-05-2010,384.519457,13.17692308,28,26,60,5.964226244,50,121.0057919,0.626930769,9,66.90323753,Poor
